episode,reward,length,success
271,9.4017,500,0
272,-2.8083,500,0
273,-1.5507,500,0
274,-0.3140,500,0
275,-0.5696,500,0
276,4.5652,500,0
277,23.3684,500,0
278,1.1929,500,0
279,-23.5137,500,0
280,-14.4133,500,0
281,13.0933,500,0
282,18.1795,500,0
283,23.0355,500,0
284,7.5309,500,0
285,31.9300,500,0
286,22.6248,500,0
287,-28.2017,500,0
288,18.2958,500,0
289,-10.5576,500,0
290,0.8236,500,0
291,2.6753,500,0
292,17.2458,500,0
293,7.4998,500,0
294,2.5160,500,0
295,2.9305,500,0
296,32.5045,500,0
297,-15.5182,500,0
298,-5.6260,500,0
299,1.1214,500,0
300,-1.5115,500,0
301,13.0469,500,0
302,-1.8559,500,0
303,-19.5698,500,0
304,-26.0513,500,0
305,-8.3009,500,0
306,-1.0400,500,0
307,-0.2933,500,0
308,-6.8956,500,0
309,-2.2842,500,0
310,-99.0067,208,0
311,-9.5233,500,0
312,-17.2386,500,0
313,0.9670,500,0
314,-119.5170,373,0
315,18.7853,500,0
316,-107.5557,180,0
317,33.1256,500,0
318,-7.6881,500,0
319,-2.8331,500,0
320,-90.4649,322,0
321,-12.0836,500,0
322,-0.5452,500,0
323,-19.4754,500,0
324,42.1530,500,0
325,5.5262,500,0
326,25.3352,500,0
327,-21.4281,500,0
328,-6.2454,500,0
329,8.4839,500,0
330,2.7217,500,0
331,31.7823,500,0
332,-1.9882,500,0
333,-1.9928,500,0
334,19.6879,500,0
335,4.3344,500,0
336,-4.2637,500,0
337,-29.3197,500,0
338,-5.9198,500,0
339,36.3781,500,0
340,29.6908,500,0
341,41.4276,500,0
342,-2.8212,500,0
343,-4.8364,500,0
344,-90.3115,458,0
345,-98.2762,8,0
346,5.8394,500,0
347,22.9665,500,0
348,40.3094,500,0
349,-1.1346,500,0
350,22.4072,500,0
351,25.6350,500,0
352,-15.4840,500,0
353,-12.2411,500,0
354,35.2114,500,0
355,-15.5012,500,0
356,10.0915,500,0
357,7.6101,500,0
358,24.5900,500,0
359,-26.2326,500,0
360,-70.3522,500,0
361,6.7228,500,0
362,34.4345,500,0
363,-1.7717,500,0
364,-13.6306,500,0
365,34.5593,500,0
366,-10.9216,500,0
367,0.1056,500,0
368,-9.3993,500,0
369,-86.6315,99,0
370,-99.3566,1,0
371,8.9061,500,0
372,17.6861,500,0
373,37.2276,500,0
374,25.2814,500,0
375,15.3948,500,0
376,16.9793,500,0
377,-9.6133,500,0
378,5.3083,500,0
379,34.0925,500,0
380,-6.3439,500,0
381,27.5218,500,0
382,-9.6042,500,0
383,43.2680,500,0
384,43.7145,500,0
