episode,reward,length,success
276,34.6158,500,0
277,137.3312,260,1
278,140.3600,221,1
279,34.2243,500,0
280,36.9096,500,0
281,148.9509,452,1
282,17.4853,500,0
283,124.9938,228,1
284,119.5478,269,1
285,153.6864,424,1
286,41.4357,500,0
287,150.3351,311,1
288,39.0918,500,0
289,157.8030,327,1
290,41.3223,500,0
291,117.7078,171,1
292,154.0418,210,1
293,-98.4457,12,0
294,141.9341,494,1
295,44.9321,500,0
296,29.0717,500,0
297,151.3898,200,1
298,150.2785,223,1
299,1.8014,500,0
300,166.0984,381,1
301,-17.0086,500,0
302,-4.6829,500,0
303,144.6652,231,1
304,30.5544,500,0
305,-83.9223,321,0
306,128.0950,221,1
307,130.2227,151,1
308,130.2596,163,1
309,157.8553,219,1
310,7.2780,500,0
311,139.0930,221,1
312,132.8281,314,1
313,152.7469,233,1
314,159.3433,257,1
315,141.1319,144,1
316,133.7476,169,1
317,-11.6003,500,0
318,40.2297,500,0
319,165.7578,465,1
320,130.2577,160,1
321,32.7902,500,0
322,152.4156,184,1
323,120.0951,153,1
324,28.9665,500,0
325,10.8813,500,0
326,-26.3977,500,0
327,15.0640,500,0
328,-26.9242,500,0
329,-28.8427,500,0
330,148.2269,293,1
331,34.2764,500,0
332,21.1053,500,0
333,-13.2184,500,0
334,36.9107,500,0
335,-98.2396,4,0
336,17.0848,500,0
337,-98.2366,11,0
338,-97.0529,21,0
339,6.3443,500,0
340,151.4852,220,1
341,130.0048,157,1
342,11.4864,500,0
343,-22.1633,500,0
344,-6.3007,500,0
345,38.3589,500,0
346,30.5095,500,0
347,40.7150,500,0
348,15.2078,500,0
349,0.9220,500,0
350,18.8287,500,0
351,0.5092,500,0
352,36.6272,500,0
353,20.2276,500,0
354,179.5155,269,1
355,140.8500,172,1
356,150.3234,361,1
357,35.5795,500,0
358,130.6691,127,1
359,133.2894,100,1
360,162.3822,312,1
361,-92.2937,34,0
362,146.1867,138,1
363,145.8049,211,1
364,158.0405,247,1
365,-96.1951,17,0
366,-86.4303,65,0
367,-69.2115,96,0
368,-81.2283,48,0
369,151.2509,172,1
370,135.3779,119,1
371,169.3900,239,1
372,140.4750,282,1
373,-7.8582,500,0
374,140.5901,127,1
375,142.1091,172,1
376,5.0894,500,0
377,144.0304,163,1
378,10.0725,500,0
379,164.8297,218,1
380,163.3942,193,1
381,153.5968,188,1
382,26.9957,500,0
383,-14.0501,500,0
384,144.8204,131,1
385,170.6566,296,1
386,3.5846,500,0
387,-75.9219,65,0
388,134.1328,178,1
389,144.1349,205,1
390,-99.7174,11,0
391,142.4847,143,1
392,20.6146,500,0
393,146.5499,151,1
394,-1.8042,500,0
395,-98.7745,2,0
396,119.0003,144,1
397,8.2907,500,0
398,125.7669,110,1
399,157.2631,178,1
400,148.2435,227,1
401,171.9404,241,1
402,18.3071,500,0
403,153.0180,162,1
404,140.3491,174,1
405,127.7049,152,1
406,4.4475,500,0
407,10.7883,500,0
408,154.2164,167,1
409,128.8477,116,1
410,-8.2314,500,0
411,153.1663,150,1
412,22.1350,500,0
413,135.1251,258,1
414,15.4426,500,0
415,171.6652,183,1
416,11.2722,500,0
417,0.4919,500,0
418,141.3497,162,1
419,2.0399,500,0
420,10.9069,500,0
421,24.5433,500,0
422,151.6950,232,1
423,159.4606,141,1
424,152.2221,175,1
425,136.8690,111,1
426,172.8806,238,1
427,164.7431,271,1
428,4.8461,500,0
429,147.3687,197,1
430,164.7268,216,1
431,-98.4168,10,0
432,30.5409,500,0
433,139.5781,126,1
434,124.8432,126,1
435,-75.8724,72,0
436,5.1241,500,0
437,12.7887,500,0
438,25.9898,500,0
439,140.5723,121,1
440,146.8688,134,1
441,142.8860,132,1
442,156.3701,176,1
443,15.9811,500,0
444,156.5613,173,1
445,-5.6633,500,0
446,170.3273,195,1
447,154.6206,162,1
448,116.8535,158,1
449,155.5394,282,1
450,136.5881,190,1
451,156.6380,152,1
452,39.5206,500,0
453,140.6164,124,1
454,-98.4501,4,0
455,147.8568,175,1
456,160.7342,257,1
457,122.2667,181,1
458,24.8833,500,0
459,162.3137,192,1
460,142.3426,128,1
461,1.4515,500,0
462,140.9013,200,1
463,7.0764,500,0
464,141.0628,136,1
465,7.6061,500,0
466,-7.2388,500,0
467,148.0269,131,1
468,135.7452,400,1
469,145.1506,155,1
470,163.6817,171,1
471,136.7308,211,1
472,3.3270,500,0
473,133.9856,235,1
474,140.5354,129,1
475,25.5699,500,0
476,118.0293,175,1
477,160.4125,233,1
478,47.8234,500,0
479,150.5986,172,1
480,148.0446,155,1
481,151.4064,114,1
482,145.0497,158,1
483,158.9053,118,1
484,155.9447,162,1
485,144.7604,191,1
486,133.5857,114,1
487,168.8343,234,1
488,148.7240,198,1
489,22.2727,500,0
490,13.8172,500,0
491,41.6638,500,0
492,129.5959,84,1
493,115.7695,152,1
494,21.5772,500,0
495,141.3969,92,1
496,141.8317,106,1
497,151.0983,155,1
498,150.5098,164,1
499,129.8856,160,1
500,135.0264,155,1
501,164.5095,145,1
502,38.3956,500,0
503,168.1951,182,1
504,153.0208,157,1
505,137.9120,161,1
506,179.2312,200,1
507,160.2791,164,1
508,143.7564,98,1
509,139.4769,104,1
510,180.1297,224,1
511,122.4355,123,1
512,-98.4098,10,0
513,151.1997,113,1
514,179.6772,156,1
515,162.4710,130,1
516,-72.8461,41,0
517,169.0874,240,1
518,3.7384,500,0
519,-55.4310,120,0
520,152.3410,161,1
521,150.3927,105,1
522,168.4443,179,1
523,165.8511,149,1
524,150.0693,138,1
525,-98.2113,5,0
526,154.5378,143,1
527,155.5975,198,1
528,-14.7932,500,0
529,142.3143,112,1
530,143.9809,105,1
531,136.5329,105,1
532,162.1582,142,1
533,148.2475,181,1
534,40.7715,500,0
535,-71.5990,42,0
536,173.2424,151,1
537,40.8975,500,0
538,150.1471,157,1
539,140.3663,141,1
540,152.5819,111,1
541,144.6451,160,1
542,-37.5949,500,0
543,141.0052,495,1
544,176.7332,216,1
545,115.1975,111,1
546,28.1392,500,0
547,157.2546,133,1
548,184.1215,193,1
549,168.0064,128,1
550,51.7227,500,0
551,-95.9614,13,0
552,13.8312,500,0
553,178.7109,198,1
554,150.2798,198,1
555,154.2688,142,1
556,125.9721,116,1
557,-99.3147,3,0
558,154.4206,125,1
559,-98.1217,4,0
560,154.0153,114,1
561,133.9403,105,1
562,170.4906,143,1
563,161.8886,361,1
564,-20.3083,500,0
565,153.3374,142,1
566,154.6658,149,1
567,140.7577,130,1
568,148.2493,99,1
569,130.1196,434,1
570,136.9094,138,1
571,159.5590,140,1
572,157.1783,221,1
573,173.2627,174,1
574,22.9991,500,0
575,154.5630,195,1
